format,primaryGenre,primaryStyle,secondaryGenres,secondaryStyles,catalogNumber,artists,title,year
LP,Jazz,MPB,"Latin, Funk / Soul",Jazz-Funk,SLP 10.079,Arthur Verocai,Arthur Verocai,2021
LP,Rock,Blues Rock,,"Rock & Roll, Folk Rock, Psychedelic Rock, Classic Rock",60 002,Various,Woodstock Two,1974
LP,Hip Hop,Gangsta,,G-Funk,DRR-LP-63097,2Pac,All Eyez On Me,2017
LP,Rock,Space Rock,,,SLK 16 726-P,UFO (5),UFO 2 - Flying - One Hour Space Rock,1971
,Hip Hop,,,,,,Business As Usual,1990
LP,Hip Hop,Soundtrack,Stage & Screen,,314 586 628-1,Method Man & Redman,How High (The Soundtrack),2001
,Hip Hop,,,,,,Deltron 3030,
LP,Rock,Blues Rock,,,SML 1023,Ten Years After,Ten Years After Undead,1969
LP,Rock,Alternative Rock,,Psychedelic Rock,none,King Gizzard And The Lizard Wizard,Polygondwanaland ,2018
LP,Electronic,Avantgarde,"Jazz, Rock, Blues",,DIS 89 200,"Frank Zappa, The Mothers",Roxy & Elsewhere,
LP,Jazz,Rhythm & Blues,"Rock, Funk / Soul","Rock & Roll, Garage Rock, Soul",ED 104,Screamin' Jay Hawkins,Frenzy,1982
LP,Rock,Psychedelic Rock,,Classic Rock,ELK 42 090,The Doors,L.A. Woman,1980
Album,Rock,Blues Rock,,Psychedelic Rock,K 42 080,The Doors,Morrison Hotel,
LP,Rock,Psychedelic Rock,,Stoner Rock,EH 012,Colour Haze,We Are,2020
LP,Electronic,Stoner Rock,Rock,Psychedelic Rock,Elektrohasch 141,My Sleeping Karma,Tri,2010
LP,Rock,Psychedelic Rock,,Space Rock,Elektrohasch 154,Saturnia (2),α Ω α,2012
LP,Rock,Blues Rock,Blues,,EMB 31036,Fleetwood Mac,Peter Green's Fleetwood Mac,1973
LP,Electronic,Hip Hop,Hip Hop,,7243 5 34250 1 2,Adam F,Kaos The Anti-Acoustic Warfare,2001
LP,Stage & Screen,Score,,,SLCW 1033,Maurice Jarre,The Message,
LP,Reggae,Roots Reggae,,,1A 064-07717,Peter Tosh,Mama Africa,1983
LP,Jazz,Free Jazz,,,ENJA 4084,"George Adams, Hannibal Marvin Peterson","George Adams, Hannibal & Friends More Sightings",1984
LP,Rock,Folk Rock,"Folk, World, & Country",,EPC 65554,Albert Hammond,The Free Electric Band,1973
,Hip Hop,,,,,,Alfredo,2020
LP,Rock,Alternative Rock,Pop,"Garage Rock, Punk","0,9999",Various,"Fan*Comic 0,9999 ",1995
Compilation,Rock,Folk Rock,"Blues, Pop, Folk, World, & Country","Country Rock, Rock & Roll, Blues Rock",BMC 76,"Creedence Clearwater Revival, John Fogerty",Chronicle (The 20 Greatest Hits),1976
LP,Rock,Spoken Word,"Non-Music, Folk, World, & Country","Psychedelic Rock, Garage Rock, Blues Rock, Avantgarde",FLT-005R,King Gizzard And The Lizard Wizard,Eyes Like The Sky,2018
LP,Rock,Heavy Metal,,"Psychedelic Rock, Thrash, Hard Rock",FLT-053,King Gizzard And The Lizard Wizard,Infest The Rats' Nest,2019
LP,Rock,Psychedelic Rock,,,9 FC87V12,King Gizzard And The Lizard Wizard,Polygondwanaland,2018
LP,Rock,Thrash,,"Death Metal, Psychedelic Rock",none,King Gizzard And The Lizard Wizard,Infest The Rats' Nest Live,2021
LP,Rock,Folk Rock,,Classic Rock,GEF 88575,Simon & Garfunkel,The Concert In Central Park,1982
LP,Electronic,Psychedelic Rock,"Rock, Folk, World, & Country",Funk,GBLP 103,Altın Gün,Yol,2021
LP,Rock,Folk,"Funk / Soul, Folk, World, & Country","Psychedelic Rock, Funk",GBLP-072,Altın Gün,Gece,2019
LP,Classical,Classical,,Modern,LPGRON237,Hans-Joachim Roedelius,Drauf Und Dran,2021
LP,Electronic,Krautrock,Rock,,LPGRONIII,Neu!,Neu! '75,2010
LP,Rock,Psychedelic Rock,,Prog Rock,1C 062-04 917,Pink Floyd,Meddle,1971
LP,Rock,Psychedelic Rock,,Prog Rock,1 C 062-05 249,Pink Floyd,The Dark Side Of The Moon,1973
LP,Rock,Krautrock,,Prog Rock,1C 062-29 521,Eloy,Floating,1974
LP,Electronic,Prog Rock,Rock,Krautrock,1C 064-32 596,Eloy,Ocean,1977
LP,Rock,Prog Rock,,,1C 038 1575251,Triumvirat,Spartacus,
LP,Rock,Prog Rock,,,1 C 064-96 918,Pink Floyd,Wish You Were Here,1975
LP,Rock,Psychedelic Rock,,"Prog Rock, Acoustic, Experimental",1C 064-98 434,Pink Floyd,Animals,1977
LP,Rock,Krautrock,,Prog Rock,1C 062-31 787,Eloy,Dawn,1976
LP,Rock,Psychedelic Rock,,Garage Rock,HVNLP140C,King Gizzard And The Lizard Wizard,Murder Of The Universe,2020
LP,Rock,Psychedelic Rock,,,HVNLP124,King Gizzard And The Lizard Wizard,Paper Mâché Dream Balloon,2015
LP,Rock,Psychedelic Rock,,"Prog Rock, Alternative Rock",HVNLP136S,King Gizzard And The Lizard Wizard,Flying Microtonal Banana (Explorations Into Microtonal Tuning Volume 1),2017
LP,Hip Hop,Jazzy Hip-Hop,,,HHV568,Kan Kick,From Artz Unknown,2016
LP,Hip Hop,Conscious,,,HHV224,Masta Ace,A Long Hot Summer,2013
LP,Electronic,Krautrock,Rock,"Experimental, Prog Rock, Space Rock",MIG 00731 LP,Agitation Free,معليش = Malesch,2012
LP,Rock,New Wave,,Post-Punk,HUMAN 1,Au Pairs,Playing With A Different Sex,1981
LP,Rock,Alternative Rock,,,HYB LP 1,The Beasts Of Bourbon,The Axeman's Jazz,1985
LP,Rock,Krautrock,,Acoustic,KS 80.007,Popol Vuh,"Sei Still, Wisse Ich Bin",1981
LP,Hip Hop,Conscious,,"G-Funk, Gangsta",00602508448898,2Pac,Me Against The World,2020
LP,Reggae,Reggae,,Roots Reggae,28 819 XOT,Bob Marley & The Wailers,Exodus,1977
LP,Reggae,Roots Reggae,,,ILPS 9517,Bob Marley & The Wailers,Kaya,1978
LP,Hip Hop,Gangsta,,,210 599,Boo-Yaa T.R.I.B.E.,New Funky Nation,1990
LP,Reggae,Reggae,,Dub Poetry,202 211,Linton Kwesi Johnson,Bass Culture,1981
LP,Reggae,Reggae,Pop,,ICD 6,Jimmy Cliff,The Best Of Jimmy Cliff,1975
LP,Jazz,Experimental,Rock,"Disco, No Wave",205 462-320,James White (2),James White's Flaming Demonics,1983
LP,Latin,MPB,Funk / Soul,,none,Tapioca (2),Dubplates From Jakarta # 21 (Voyage),2022
LP,Electronic,Krautrock,Rock,Psychedelic Rock,JLS 3062,Eloy,Inside,1974
,Hip Hop,,,,,,It's A Beautiful Thing,1999
,Hip Hop,,,,,,"Beats, Rhymes And Life",1996
LP,Rock,Acoustic,"Reggae, Funk / Soul, Folk, World, & Country","Gospel, Psychedelic, Junkanoo",ye24001lp,Exuma,Exuma,2016
Album,Rock,Psychedelic Rock,,Prog Rock,65 014,Gäa,Auf Der Bahn Zum Uranus,1996
LP,Rock,Progressive Metal,,,KGLW-035,King Gizzard And The Lizard Wizard,"Petrodragonic Apocalypse; Or, Dawn Of Eternal Night: An Annihilation Of Planet Earth And The Beginning Of Merciless Damnation",2023
LP,Electronic,Synthwave,,Synth-pop,KGLW-053,King Gizzard And The Lizard Wizard,The Silver Cord (Extended Mix),2023
"7""","Folk, World, & Country",Min'yō,,,BS 5699,"三橋美智也, 岩崎三郎",鹿児島おはら節 / 鹿児島浜節,
"12""",Electronic,Electro,,Synth-pop,1 C K 052-78 078 Z,Kraftwerk,Das Model,1982
LP,Rock,Psychedelic Rock,,Space Rock,K2-46,Rymdstyrelsen,Space Is Cold,2018
LP,Electronic,Krautrock,Rock,Experimental,KM 58.016,Mythos (4),Dreamlab,1982
LP,Electronic,Krautrock,Classical,"Modern Classical, Post-Modern, Ambient, Drone",048,Peter Michael Hamel,Bardo,1981
LP,Rock,Psychedelic Rock,"Funk / Soul, Folk, World, & Country","Instrumental, Disco, Funk",BJR046,YĪN YĪN,The Rabbit That Hunts Tigers,2019
LP,Hip Hop,Gangsta,,,MMS-022,"Freddie Gibbs, Madlib",Piñata,2014
LP,Hip Hop,Gangsta,,,CUTSLP39,Various,Classic G-Funk Volume 1,1997
,Hip Hop,,,,,,Sardines,2023
,Hip Hop,,,,,,Mona Lisa,2018
,Rock,,"Blues, Folk, World, & Country",,,,Grasshopper,1982
LP,Rock,Pop Rock,,,6302 204,Steve Miller Band,Abracadabra,1982
,Hip Hop,,,,,,Operation: Doomsday,2016
LP,Rock,Psychedelic Rock,,,LP 831 181-1,Ultimate Spinach,Behold And See,1986
LP,Jazz,Cool Jazz,Funk / Soul,,47010,Herbie Mann,Let Me Tell You,
LP,Electronic,Experimental,,,MIND804,Kraftwerk,King Biscuit Radio 1975,2021
LP,Jazz,Soul-Jazz,"Latin, Funk / Soul, Folk, World, & Country","MPB, Folk",MOLP-009,Arthur Verocai,Mochilla Presents Timeless: Arthur Verocai,2021
LP,Jazz,Jazz-Funk,"Funk / Soul, Folk, World, & Country, Stage & Screen","Afrobeat, Disco, Soundtrack, Theme, Score, Fusion, Soul, Electro, Ballad, Baroque, Neo-Classical",1C 198-62 492/93,Stevie Wonder,Stevie Wonder’s Journey Through The Secret Life Of Plants,1979
LP,Hip Hop,Neo Soul,Funk / Soul,Contemporary R&B,MOVLP1124,Erykah Badu,Mama's Gun,2014
,"Folk, World, & Country",,,,,,Mandolines Napolitaines,
LP,Rock,Psychedelic Rock,,Stoner Rock,NPR900VINYLMCP,My Sleeping Karma,Atma,2022
LP,Rock,Country Rock,,Punk,NAR 015,Blood On The Saddle,Blood On The Saddle,1984
LP,Rock,Psychedelic,"Funk / Soul, Folk, World, & Country",Funk,ALNLP40R,Khruangbin,The Universe Smiles Upon You,2016
LP,Non-Music,Field Recording,,"Interview, Public Broadcast, Special Effects, Spoken Word",none,"RennReport, Eddie Guba, Olaf M. Ohl",Grand Prix Stereo,
LP,Rock,Psychedelic Rock,,,KGLW-003LP,King Gizzard And The Lizard Wizard,K.G. (Explorations Into Microtonal Tuning Volume 2),2020
LP,Electronic,Psychedelic Rock,Rock,Synth-pop,KGLW-008,King Gizzard And The Lizard Wizard,Schmetterling 3000 ,2021
LP,Electronic,Psychedelic Rock,Rock,,none,King Gizzard And The Lizard Wizard,Made In Timeland,2022
LP,Hip Hop,Roots Reggae,Reggae,,JGONGLP002,"Nas, Damian Marley",Distant Relatives,2010
LP,Rock,Stoner Rock,,Psychedelic Rock,none,Naxatras,Naxatras,2019
LP,Rock,Stoner Rock,,Psychedelic Rock,none,Naxatras,II,2019
LP,Rock,Psychedelic Rock,,Stoner Rock,none,Naxatras,III,2019
LP,Electronic,Krautrock,,,6.22 550,La Düsseldorf,La Düsseldorf,1976
LP,Rock,Psychedelic Rock,,Stoner Rock,OIR017,The Re-Stoned,Chronoclasm,2017
LP,Electronic,Krautrock,Rock,"Prog Rock, Ambient",OMM 556020,Ash Ra Tempel,Schwingungen,2016
LP,Rock,Folk Rock,,Krautrock,OHR 70016-1,Hoelderlin,Hölderlins Traum,2008
LP,Rock,Krautrock,,Prog Rock,OHR 70019-1,Mythos (4),Mythos,2008
LP,Rock,Folk,,,OHR 70007-1,Bröselmaschine,Bröselmaschine,2008
LP,Pop,Chanson,,,66.397,Dalida,Le Sixième Jour,1986
LP,Rock,Blues Rock,,Psychedelic Rock,PDOOM-004,King Gizzard And The Lizard Wizard,Flight b741,2024
LP,Electronic,Downtempo,,Synth-pop,0724384497811,AIR,Moon Safari,2015
LP,Pop,Chanson,,,6620 016,Serge Gainsbourg,"Grandes Chansons De Gainsbourg ""La Chanson De Prévert""",1974
LP,"Folk, World, & Country",Chacarera,,,6620 066,Los Incas,El Cóndor Pasa,
LP,Rock,African,"Funk / Soul, Folk, World, & Country","Afrobeat, Funk, Psychedelic",PMG037LP,Black Children Sledge Funk Group,Vol. 3 - Aviation Grand Father,2016
LP,Rock,Blues Rock,Blues,,VPBLP 5,Johnny Winter,Let Me In,1991
LP,Classical,Classical,,"Religious, Holiday",2371 405,James Last,Weihnachten & James Last,1973
LP,Hip Hop,Boom Bap,,"Conscious, Jazzy Hip-Hop",CMG LP 2385,Joey Bada$$,B4.DA.$$,2015
LP,Rock,Blues Rock,,"Hard Rock, Psychedelic Rock, Heavy Metal",1 C 062-91 908,Steppenwolf,Steppenwolf 7,1970
,Latin,,,,,,Ritmo de Acapulco Tropical,1977
LP,Jazz,Art Rock,Rock,Avantgarde,Rē 6116,News From Babel,Sirens & Silences / Work Resumed On The Tower,1984
LP,Rock,Blues Rock,,"Experimental, Jazz-Rock, Avantgarde",RS 2030,Frank Zappa,Chunga's Revenge,1970
LP,Rock,Prog Rock,,Psychedelic Rock,RRR004,Eldovar,A Story Of Darkness & Light,2021
LP,Rock,Blues Rock,,Soft Rock,RSD 5010,Eric Clapton,Time Pieces (The Best Of Eric Clapton),1982
LP,Electronic,Psychedelic Rock,Rock,"Krautrock, Electro, Acid Rock, Space Rock",SBR-168,Moon Duo,Occult Architecture Vol. 1,2017
LP,Electronic,Krautrock,Rock,"Minimal, Experimental",SBR-223,Föllakzoid,I,2019
LP,Electronic,Experimental,,Ambient,SBR-3030,Mort Garson,Mother Earth's Plantasia,2019
LP,Rock,Psychedelic Rock,,,SBR169,Moon Duo,Occult Architecture Vol. 2,2017
LP,Rock,Alternative Rock,,"Space Rock, Psychedelic Rock",SBR-122,Moon Duo,Shadow Of The Sun,2015
LP,Pop,Catalan Music,"Folk, World, & Country",,LD-11014-A,Umpah-Pah,Raons De Pes,1991
LP,Rock,Stoner Rock,,Space Rock,Satin 1,Sun And Sail Club,Mannequin,2014
,Hip Hop,,,,,,The Re-Up,2013
LP,Rock,Folk Rock,,,27 320 ET,J.J. Cale,Naturally,1978
LP,Rock,Folk Rock,Blues,Blues Rock,27 323 OT,J.J. Cale,Troubadour,1977
LP,Rock,Folk Rock,Blues,,SRL-52015,J.J. Cale,Okie,1977
LP,Electronic,Krautrock,Rock,Ambient,sky 007,Michael Rother,Flammende Herzen,1977
LP,Electronic,Krautrock,Rock,"Prog Rock, Ambient",sky 021,"Brian Eno, Dieter Moebius, Hans-Joachim Roedelius",After The Heat,1978
LP,Electronic,Krautrock,Rock,Prog Rock,sky 030,"Wolfgang Riechmann, Streetmark",Wolfgang Riechmann & Streetmark,1979
LP,Electronic,Synth-pop,Rock,,SKY 046,Mythos (4),Quasar,1980
LP,Rock,Krautrock,,,sky 050,Streetmark,Sky Racer,1981
LP,Electronic,Synth-pop,,"Ambient, Experimental, Electro, Downtempo",SKY 017,Wolfgang Riechmann,Wunderbar,1978
LP,Electronic,Krautrock,Rock,Ambient,sky 033,Michael Rother,Katzenmusik,1979
LP,Electronic,Experimental,Rock,"Krautrock, Space Rock, Post-Punk",SJR LP469,Trees Speak,PostHuman,2021
LP,Non-Music,Dialogue,,,LPS 568,"Stirling Moss, Robin Richards (2)",Grand Prix d'Europe Brands Hatch / Vingt-Quatre Heures du Mans 1964,1964
,Funk / Soul,,"Folk, World, & Country",,,,Sounds Like Van Spirit - A Collection Of Europe's Pavement Melodies,2019
LP,Rock,Psychedelic Rock,,"Shoegaze, Space Rock",SOU034LP,Moon Duo,Circles,2012
LP,Jazz,Jazz-Rock,Rock,Prog Rock,INT 160.608,Hoelderlin,Rare Birds,1977
LP,Rock,Krautrock,,"Experimental, Avantgarde",XSPOON8,Can,Ege Bamyasi,2019
LP,Electronic,Krautrock,Rock,"Experimental, Psychedelic Rock",XSPOON9,Can,Future Days,2021
LP,Rock,Psychedelic Rock,,"Stoner Rock, Prog Rock, Doom Metal",PSYCHOBABBLE 091,Elder (2),Reflections Of A Floating World,2017
LP,Rock,Krautrock,,Psychedelic Rock,6.28521 DT,Amon Düül II,Yeti,1978
LP,Electronic,Experimental,Rock,Krautrock,6.23626,La Düsseldorf,Viva,1978
LP,Rock,Surf,,,BLHRRS001,The Belharras Surf-Jazz Society,Poseidon,2018
LP,Hip Hop,Disco,Funk / Soul,"Funk, Soul",SH 263,West Street Mob,West Street Mob,1981
LP,Rock,Blues Rock,Blues,"Hard Rock, Classic Rock",SLS 50376,The Groundhogs,Thank Christ For The Bomb,
LP,Electronic,Krautrock,,"Synth-pop, Experimental",6.24524,La Düsseldorf,Individuellos,1980
LP,Classical,Religious,,"Medieval, Vocal",6.41214,"Capella Antiqua München, Konrad Ruhland",Gregorianische Gesange,1981
LP,Hip Hop,Boom Bap,,"Jazzy Hip-Hop, Conscious",none,Oxmo Puccino,Opéra Puccino,2018
LP,Hip Hop,Pop Rap,,G-Funk,TB 1180,Coolio,My Soul,1997
LP,Hip Hop,Conscious,,,TEG-78504-1,Souls Of Mischief,93 'Til Infinity,2010
LP,Electronic,Leftfield,,,314 558 021-1,"Material, William S. Burroughs",The Road To The Western Lands,1998
LP,Electronic,Krautrock,Rock,Psychedelic Rock,UAS 29 406 I,Amon Düül II,Wolf City,1972
,Hip Hop,,,,,,Big Tyme,1989
LP,Jazz,Contemporary Jazz,,,vBr 25,Lounge Lizards,Voice Of Chunk,1989
LP,Rock,Psychedelic Rock,,,6360 033,Jade Warrior,Jade Warrior,1971
"7""","Folk, World, & Country",Min'yō,,,OV-107,Ichimaru,天龍下れば / さのさ節,1962
LP,Hip Hop,Conscious,,,VinDig361-1,RAG,Unter Tage,2018
,Hip Hop,,,,,,Reject 2,2021
LP,Electronic,Chanson,Pop,Synth-pop,70616,Etienne Daho,Pour Nos Vies Martiennes,1988
LP,Electronic,Ambient,,,89 679 XOT,Tangerine Dream,Ricochet,1976
LP,Electronic,Ambient,,,89580-I,Edgar Froese,Ypsilon In Malaysian Pale,1975
LP,Electronic,Experimental,,"Ambient, Krautrock",28 990 XBU,Tangerine Dream,Alpha Centauri + Atem,
LP,Electronic,Berlin-School,,,302 686,Tangerine Dream,Dream Sequence,1985
LP,Rock,Folk Rock,,"Experimental, Krautrock",LPS159,Popol Vuh,Letzte Tage - Letzte Nächte,2015
LP,Rock,Folk Rock,"Reggae, Folk, World, & Country","Calypso, Avantgarde",WB 46 166,Van Dyke Parks,Discover America,
LP,Blues,Electric Blues,"Folk, World, & Country",African,W13LP3,Tinariwen,Emmaar,2014
LP,Electronic,Krautrock,Rock,"Modern Classical, Ambient",20.017,Popol Vuh,Music From Werner Herzog Films Soundtracks: Fitzcarraldo-Aguirre-Nosferatu-Herz Aus Glas,1982
LP,Rock,Soft Rock,Pop,Ballad,ВТА 12717,Eros Ramazzotti,In Ogni Senso,1990
LP,Rock,Folk Rock,,Psychedelic Rock,С60 25129 005,Аквариум,Åквариум,1987
